ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
2689,SI,Security Alerts and Advisories,SI-05.00.03.01,"The organization defines personnel or roles to whom security alerts, advisories, and directives are to be provided as ISSOs and systems administrators.",Read Control Step Content
2690,SI,Security Alerts and Advisories,SI-05.00.03.02,"The organization defines elements within the organization to whom security alerts, advisories, and directives are to be provided as ISSOs and systems administrators.",Read Control Step Content
2691,SI,Security Alerts and Advisories,SI-05.00.03.03,"The organization defines external organizations to whom security alerts, advisories, and directives are to be provided.",Read Control Step Content
2692,SI,Security Alerts and Advisories,SI-05.00.03.04,"The organization disseminates security alerts, advisories, and directives to ISSOs and systems administrators.",Read Control Step Content
2693,SI,Security Alerts and Advisories,SI-05.00.04.01,The organization implements security directives in accordance with established time frames.,Read Control Step Content
2694,SI,Security Alerts and Advisories,SI-05.00.04.02,The organization notifies the issuing organization of the degree of noncompliance.,Read Control Step Content
2695,SI,Automated Alerts and Advisories,SI-05.01.01.01,The organization employs automated mechanisms to make security alert and advisory information available throughout the organization.,Read Control Step Content
2696,SI,Security Functionality Verification,SI-06.00.01.01,The organization defines security functions to be verified for correct operation as security alerts.,Read Control Step Content
2697,SI,Security Functionality Verification,SI-06.00.01.02,The information system verifies the correct operation of security alerts.,Read Control Step Content
2698,SI,Security Functionality Verification,SI-06.00.02.01,The organization defines system transitional states requiring verification of security alerts as system startup and restart.,Read Control Step Content
2699,SI,Security Functionality Verification,SI-06.00.02.02,The organization defines a frequency to verify the correct operation of security alerts as real time.,Read Control Step Content
2700,SI,Security Functionality Verification,SI-06.00.02.03,"The information system performs this verification on one or more of the following:
1) during system startup and restart 
2) in real time",Read Control Step Content
2701,SI,Security Functionality Verification,SI-06.00.03.01,The organization defines personnel or roles to be notified of failed security verification tests as system administrators.,Read Control Step Content
2702,SI,Security Functionality Verification,SI-06.00.03.02,The information system notifies system administrators of failed security verification tests.,Read Control Step Content
2703,SI,Security Functionality Verification,SI-06.00.04.01,The organization defines alternative action(s) to be performed when anomalies are discovered as either shuts the information system down or restarts the information system.,Read Control Step Content
2704,SI,Security Functionality Verification,SI-06.00.04.02,"The information system performs one or more of the following actions when anomalies are discovered:
1) shuts the information system down
2) restarts the information system",Read Control Step Content
2705,SI,Automation Support for Distributed Testing,SI-06.02.01.00,The information system implements automated mechanisms to support the management of distributed security testing.,Read Control Step Content
2706,SI,Report Verification Results,SI-06.03.01.01,The organization defines personnel or roles designated to receive the results of security function verification.,Read Control Step Content
2707,SI,Report Verification Results,SI-06.03.02.01,The organization reports the results of security function verification to organization-defined personnel or roles.,Read Control Step Content
2708,SI,"Software, Firmware, and Information Integrity",SI-07.00.01.01,The organization defines software requiring integrity verification tools to be employed to detect unauthorized changes.,Read Control Step Content
