ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
914,PM,Plan of Actions and Milestones Progress,PM-04.00.01.03,The organization implements a process for ensuring that plans of action and milestones for the security program and associated organizational information systems are reported in accordance with OMB FISMA reporting requirements. 
915,PM,Plan of Actions and Milestones Progress,PM-04.00.02.01,The organization reviews plans of action and milestones for consistency with the organizational risk management strategy.
916,PM,Plan of Actions and Milestones Progress,PM-04.00.02.02,The organization reviews plans of action and milestones for consistency with organization-wide priorities for risk response actions.
917,PM,Information System Inventory,PM-05.00.01.01,The organization develops an inventory of its FISMA-reportable information systems in CSAM.
918,PM,Information System Inventory,PM-05.00.02.01,"The organization maintains the inventory of its FISMA-reportable information systems in CSAM through reviews conducted at least annually, with updates made as necessary."
919,PM,Information Security Measures of Performance,PM-06.00.01.01,The organization develops information security measures of performance.
920,PM,Information Security Measures of Performance,PM-06.00.02.01,The organization monitors information security measures of performance.
921,PM,Information Security Measures of Performance,PM-06.00.03.01,The organization reports on the results of information security measures of performance.
922,PM,Enterprise Architecture,PM-07.00.01.01,The organization develops an enterprise architecture with consideration for information security.
923,PM,Enterprise Architecture,PM-07.00.02.01,"The organization develops an enterprise architecture with consideration for the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation."
924,PM,Critical Infrastructure Plan,PM-08.00.01.01,The organization addresses information security issues in the development of a critical infrastructure and key resources protection plan.
